DEBUG    | 2024-12-10 17:02:07 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:07 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | Sanic v24.6.0
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | Goin' Fast @ http://0.0.0.0:8088
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | app: sanic-web
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | mode: production, w/ 4 workers
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | server: sanic, HTTP/1.1
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | python: 3.10.14
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | platform: macOS-14.1.1-arm64-arm-64bit
INFO     | 2024-12-10 17:02:14 | motd.py:69 | display() | packages: sanic-routing==23.12.0
DEBUG    | 2024-12-10 17:02:15 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:15 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
DEBUG    | 2024-12-10 17:02:21 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:21 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:21 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:21 | __init__.py:341 | wrapper() | CACHEDIR=/Users/lihuan/.matplotlib
DEBUG    | 2024-12-10 17:02:21 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
DEBUG    | 2024-12-10 17:02:21 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
DEBUG    | 2024-12-10 17:02:21 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
DEBUG    | 2024-12-10 17:02:21 | font_manager.py:1580 | _load_fontmanager() | Using fontManager instance from /Users/lihuan/.matplotlib/fontlist-v390.json
INFO     | 2024-12-10 17:02:25 | runners.py:182 | _run_server_forever() | Starting worker [15265]
INFO     | 2024-12-10 17:02:25 | runners.py:182 | _run_server_forever() | Starting worker [15266]
INFO     | 2024-12-10 17:02:25 | runners.py:182 | _run_server_forever() | Starting worker [15264]
INFO     | 2024-12-10 17:02:25 | runners.py:182 | _run_server_forever() | Starting worker [15263]
INFO     | 2024-12-10 17:02:29 | runners.py:185 | _run_server_forever() | Stopping worker [15263]
INFO     | 2024-12-10 17:02:29 | runners.py:185 | _run_server_forever() | Stopping worker [15264]
INFO     | 2024-12-10 17:02:29 | runners.py:185 | _run_server_forever() | Stopping worker [15265]
INFO     | 2024-12-10 17:02:29 | runners.py:185 | _run_server_forever() | Stopping worker [15266]
INFO     | 2024-12-10 17:02:29 | manager.py:385 | shutdown_signal() | Received signal SIGINT. Shutting down.
INFO     | 2024-12-10 17:02:29 | runners.py:195 | _run_server_forever() | Worker complete [15264]
INFO     | 2024-12-10 17:02:29 | runners.py:195 | _run_server_forever() | Worker complete [15265]
INFO     | 2024-12-10 17:02:29 | runners.py:195 | _run_server_forever() | Worker complete [15266]
INFO     | 2024-12-10 17:02:29 | runners.py:195 | _run_server_forever() | Worker complete [15263]
